prediction_point,POFD,POD,mode,quantity,unit,lead_days
0.61,0.9069767441860465,0.8484848484848485,strict3x3,pn,CPP,1
0.62,0.9069767441860465,0.8484848484848485,strict3x3,pn,CPP,1
0.63,0.9069767441860465,0.8484848484848485,strict3x3,pn,CPP,1
0.64,0.9069767441860465,0.8484848484848485,strict3x3,pn,CPP,1
0.65,0.9069767441860465,0.8484848484848485,strict3x3,pn,CPP,1
0.66,0.9069767441860465,0.8484848484848485,strict3x3,pn,CPP,1
0.67,0.9069767441860465,0.8484848484848485,strict3x3,pn,CPP,1
0.68,0.8953488372093024,0.8484848484848485,strict3x3,pn,CPP,1
0.69,0.8953488372093024,0.8484848484848485,strict3x3,pn,CPP,1
0.7,0.8953488372093024,0.8333333333333334,strict3x3,pn,CPP,1
0.71,0.8953488372093024,0.8333333333333334,strict3x3,pn,CPP,1
0.72,0.8953488372093024,0.803030303030303,strict3x3,pn,CPP,1
0.73,0.8953488372093024,0.803030303030303,strict3x3,pn,CPP,1
0.74,0.8953488372093024,0.7727272727272727,strict3x3,pn,CPP,1
0.75,0.8953488372093024,0.7575757575757576,strict3x3,pn,CPP,1
0.76,0.8953488372093024,0.7424242424242424,strict3x3,pn,CPP,1
0.77,0.8953488372093024,0.7424242424242424,strict3x3,pn,CPP,1
0.78,0.8837209302325582,0.7424242424242424,strict3x3,pn,CPP,1
0.79,0.872093023255814,0.7272727272727273,strict3x3,pn,CPP,1
0.8,0.872093023255814,0.7272727272727273,strict3x3,pn,CPP,1
0.81,0.8604651162790697,0.7272727272727273,strict3x3,pn,CPP,1
0.82,0.8604651162790697,0.7121212121212122,strict3x3,pn,CPP,1
0.83,0.8604651162790697,0.7121212121212122,strict3x3,pn,CPP,1
0.84,0.8488372093023255,0.7121212121212122,strict3x3,pn,CPP,1
0.85,0.8488372093023255,0.6818181818181818,strict3x3,pn,CPP,1
0.86,0.813953488372093,0.6666666666666666,strict3x3,pn,CPP,1
0.87,0.813953488372093,0.6666666666666666,strict3x3,pn,CPP,1
0.88,0.8023255813953488,0.6515151515151515,strict3x3,pn,CPP,1
0.89,0.7906976744186046,0.6212121212121212,strict3x3,pn,CPP,1
0.9,0.7790697674418605,0.5757575757575758,strict3x3,pn,CPP,1
0.91,0.7558139534883721,0.5454545454545454,strict3x3,pn,CPP,1
0.92,0.7093023255813954,0.5454545454545454,strict3x3,pn,CPP,1
0.93,0.686046511627907,0.5151515151515151,strict3x3,pn,CPP,1
0.94,0.627906976744186,0.4696969696969697,strict3x3,pn,CPP,1
0.95,0.5930232558139535,0.42424242424242425,strict3x3,pn,CPP,1
0.96,0.5232558139534884,0.4090909090909091,strict3x3,pn,CPP,1
0.97,0.3953488372093023,0.3333333333333333,strict3x3,pn,CPP,1
0.98,0.2441860465116279,0.22727272727272727,strict3x3,pn,CPP,1
0.99,0.06976744186046512,0.07575757575757576,strict3x3,pn,CPP,1
1.0,0.0,0.0,strict3x3,pn,CPP,1
0.0,1.0,1.0,strict3x3,pn,CPP,2
0.01,1.0,0.9726027397260274,strict3x3,pn,CPP,2
0.02,1.0,0.958904109589041,strict3x3,pn,CPP,2
0.03,1.0,0.958904109589041,strict3x3,pn,CPP,2
0.04,1.0,0.958904109589041,strict3x3,pn,CPP,2
0.05,1.0,0.9452054794520548,strict3x3,pn,CPP,2
0.06,1.0,0.9452054794520548,strict3x3,pn,CPP,2
0.07,1.0,0.9452054794520548,strict3x3,pn,CPP,2
0.08,1.0,0.9452054794520548,strict3x3,pn,CPP,2
0.09,1.0,0.9452054794520548,strict3x3,pn,CPP,2
0.1,0.9883720930232558,0.9452054794520548,strict3x3,pn,CPP,2
0.11,0.9883720930232558,0.9452054794520548,strict3x3,pn,CPP,2
0.12,0.9883720930232558,0.9315068493150684,strict3x3,pn,CPP,2
0.13,0.9883720930232558,0.9315068493150684,strict3x3,pn,CPP,2
0.14,0.9883720930232558,0.9315068493150684,strict3x3,pn,CPP,2
0.15,0.9883720930232558,0.9178082191780822,strict3x3,pn,CPP,2
0.16,0.9883720930232558,0.9178082191780822,strict3x3,pn,CPP,2
0.17,0.9883720930232558,0.9178082191780822,strict3x3,pn,CPP,2
0.18,0.9883720930232558,0.9178082191780822,strict3x3,pn,CPP,2
0.19,0.9883720930232558,0.9178082191780822,strict3x3,pn,CPP,2
0.2,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.21,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.22,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.23,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.24,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.25,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.26,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.27,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.28,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.29,0.9767441860465116,0.9178082191780822,strict3x3,pn,CPP,2
0.3,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.31,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.32,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.33,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.34,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.35,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.36,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.37,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.38,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.39,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.4,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.41,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.42,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.43,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.44,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.45,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.46,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.47,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.48,0.9651162790697675,0.9178082191780822,strict3x3,pn,CPP,2
0.49,0.9651162790697675,0.9041095890410958,strict3x3,pn,CPP,2
0.5,0.9651162790697675,0.8904109589041096,strict3x3,pn,CPP,2
0.51,0.9534883720930233,0.8904109589041096,strict3x3,pn,CPP,2
0.52,0.9534883720930233,0.8767123287671232,strict3x3,pn,CPP,2
0.53,0.9534883720930233,0.8767123287671232,strict3x3,pn,CPP,2
0.54,0.9534883720930233,0.8767123287671232,strict3x3,pn,CPP,2
0.55,0.9534883720930233,0.8767123287671232,strict3x3,pn,CPP,2
0.56,0.9418604651162791,0.8767123287671232,strict3x3,pn,CPP,2
0.57,0.9418604651162791,0.863013698630137,strict3x3,pn,CPP,2
0.58,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.59,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.6,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.61,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.62,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.63,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.64,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.65,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.66,0.9418604651162791,0.8356164383561644,strict3x3,pn,CPP,2
0.67,0.9302325581395349,0.8356164383561644,strict3x3,pn,CPP,2
0.68,0.9186046511627907,0.821917808219178,strict3x3,pn,CPP,2
0.69,0.9186046511627907,0.8082191780821918,strict3x3,pn,CPP,2
0.7,0.9186046511627907,0.8082191780821918,strict3x3,pn,CPP,2
0.71,0.9186046511627907,0.8082191780821918,strict3x3,pn,CPP,2
0.72,0.9186046511627907,0.8082191780821918,strict3x3,pn,CPP,2
0.73,0.9186046511627907,0.7945205479452054,strict3x3,pn,CPP,2
0.74,0.9186046511627907,0.7945205479452054,strict3x3,pn,CPP,2
0.75,0.9186046511627907,0.7808219178082192,strict3x3,pn,CPP,2
0.76,0.9186046511627907,0.7808219178082192,strict3x3,pn,CPP,2
0.77,0.9186046511627907,0.7808219178082192,strict3x3,pn,CPP,2
0.78,0.9069767441860465,0.7534246575342466,strict3x3,pn,CPP,2
0.79,0.8953488372093024,0.7534246575342466,strict3x3,pn,CPP,2
0.8,0.8837209302325582,0.7534246575342466,strict3x3,pn,CPP,2
0.81,0.8604651162790697,0.7534246575342466,strict3x3,pn,CPP,2
0.82,0.8488372093023255,0.7534246575342466,strict3x3,pn,CPP,2
0.83,0.8488372093023255,0.7534246575342466,strict3x3,pn,CPP,2
0.84,0.8255813953488372,0.7397260273972602,strict3x3,pn,CPP,2
0.85,0.813953488372093,0.726027397260274,strict3x3,pn,CPP,2
0.86,0.7790697674418605,0.6986301369863014,strict3x3,pn,CPP,2
0.87,0.7674418604651163,0.6712328767123288,strict3x3,pn,CPP,2
0.88,0.7674418604651163,0.6712328767123288,strict3x3,pn,CPP,2
0.89,0.7441860465116279,0.6575342465753424,strict3x3,pn,CPP,2
0.9,0.7209302325581395,0.6575342465753424,strict3x3,pn,CPP,2
0.91,0.686046511627907,0.6438356164383562,strict3x3,pn,CPP,2
0.92,0.6627906976744186,0.6301369863013698,strict3x3,pn,CPP,2
0.93,0.6395348837209303,0.547945205479452,strict3x3,pn,CPP,2
0.94,0.6046511627906976,0.5068493150684932,strict3x3,pn,CPP,2
0.95,0.4883720930232558,0.4931506849315068,strict3x3,pn,CPP,2
0.96,0.4069767441860465,0.410958904109589,strict3x3,pn,CPP,2
0.97,0.32558139534883723,0.3013698630136986,strict3x3,pn,CPP,2
0.98,0.20930232558139536,0.2328767123287671,strict3x3,pn,CPP,2
0.99,0.09302325581395349,0.136986301369863,strict3x3,pn,CPP,2
1.0,0.0,0.0,strict3x3,pn,CPP,2
0.0,1.0,1.0,strict3x3,pn,CPP,3
0.01,1.0,1.0,strict3x3,pn,CPP,3
0.02,1.0,0.9827586206896551,strict3x3,pn,CPP,3
0.03,1.0,0.9827586206896551,strict3x3,pn,CPP,3
0.04,1.0,0.9827586206896551,strict3x3,pn,CPP,3
0.05,1.0,0.9827586206896551,strict3x3,pn,CPP,3
0.06,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.07,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.08,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.09,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.1,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.11,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.12,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.13,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.14,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.15,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.16,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.17,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.18,0.9875,0.9827586206896551,strict3x3,pn,CPP,3
0.19,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.2,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.21,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.22,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.23,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.24,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.25,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.26,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.27,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.28,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.29,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.3,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.31,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.32,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.33,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.34,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
