unit,quantity,period,method,n_stations,n_weeks,acf_w1,acf_w2,acf_w4,acf_w26,acf_w52,acf_slope,first_insig_lag,nonstationary_by_acf,trend_r,trend_p,adf_p,kpss_p,verdict,stl_trend_r,stl_trend_p,seasonal_strength,trend_strength
Monterey Wharf,pn,window,stl,1,148,0.2678356255924563,0.08909184014775383,0.08006462745299218,-0.05484858557569778,0.015639968220976137,-0.004424000513963885,2.0,False,-0.037734504783994885,0.6488718874186303,2.690422012759219e-15,0.1,stationary (both agree),0.9972502969988463,6.601371891479714e-167,0.6184190305404045,0.13345991876171714
Morro Bay Front Bay,pn,full,raw,1,172,0.2352277144205898,0.19603745949355691,0.13957921969715884,-0.21644407426265852,0.19795015348437844,-0.016243947543843555,3.0,False,0.032405289748340296,0.6730226247807486,0.6104396612697475,0.09338911297170674,"conflicting: ADF unit root, KPSS stationary (weak evidence)",,,,
Morro Bay Front Bay,pn,full,seasonal_diff,1,119,0.09541646598807389,-0.06911422273270099,-0.037685572983542116,0.05198248036344408,-0.553358959024729,-0.003528209804863241,1.0,False,0.009932456280239425,0.9146229604364499,2.157698929935686e-07,0.1,stationary (both agree),,,,
Morro Bay Front Bay,pn,full,stl,1,178,0.1505589775601131,-0.06795726314560119,0.028274274507275952,0.0462791835256368,0.02028620215961501,-0.0033335656739476036,2.0,False,-0.022655189826699416,0.7640497926656495,9.193343008451677e-21,0.1,stationary (both agree),-0.688825961333641,2.236462286413897e-26,0.5368111019730339,0.0
Morro Bay Front Bay,pn,window,raw,1,172,0.2352277144205898,0.19603745949355691,0.13957921969715884,-0.21644407426265852,0.19795015348437844,-0.016243947543843555,3.0,False,0.032405289748340296,0.6730226247807486,0.6104396612697475,0.09338911297170674,"conflicting: ADF unit root, KPSS stationary (weak evidence)",,,,
Morro Bay Front Bay,pn,window,seasonal_diff,1,119,0.09541646598807389,-0.06911422273270099,-0.037685572983542116,0.05198248036344408,-0.553358959024729,-0.003528209804863241,1.0,False,0.009932456280239425,0.9146229604364499,2.157698929935686e-07,0.1,stationary (both agree),,,,
Morro Bay Front Bay,pn,window,stl,1,178,0.1505589775601131,-0.06795726314560119,0.028274274507275952,0.0462791835256368,0.02028620215961501,-0.0033335656739476036,2.0,False,-0.022655189826699416,0.7640497926656495,9.193343008451677e-21,0.1,stationary (both agree),-0.688825961333641,2.236462286413897e-26,0.5368111019730339,0.0
Morro Bay Back Bay,pn,full,raw,1,172,0.0029303595059620973,0.10973756473379502,-0.0964139079021265,-0.07656762947394997,-0.05215050978701088,-0.0019379738842484303,1.0,False,0.07888874014873785,0.30363194957216416,3.6258485214435413e-12,0.1,stationary (both agree),,,,
Morro Bay Back Bay,pn,full,seasonal_diff,1,119,0.006490639861868346,0.08520424704099334,-0.10156567014012478,-0.0384407353845864,-0.446846997207685,-0.002091877987391548,1.0,False,0.08375281641469598,0.36515606138809087,2.3375294278284627e-09,0.1,stationary (both agree),,,,
Morro Bay Back Bay,pn,full,stl,1,178,0.14119943657215564,0.10023995326303677,-0.0737356948389742,-0.010124246444976504,0.19923815071055825,-0.0012110318231239965,1.0,False,-0.010918885726671202,0.8849839896941563,0.00011393683421098302,0.1,stationary (both agree),-0.9999999999999943,0.0,0.22776561165497045,0.001863266860176016
Morro Bay Back Bay,pn,window,raw,1,172,0.0029303595059620973,0.10973756473379502,-0.0964139079021265,-0.07656762947394997,-0.05215050978701088,-0.0019379738842484303,1.0,False,0.07888874014873785,0.30363194957216416,3.6258485214435413e-12,0.1,stationary (both agree),,,,
Morro Bay Back Bay,pn,window,seasonal_diff,1,119,0.006490639861868346,0.08520424704099334,-0.10156567014012478,-0.0384407353845864,-0.446846997207685,-0.002091877987391548,1.0,False,0.08375281641469598,0.36515606138809087,2.3375294278284627e-09,0.1,stationary (both agree),,,,
Morro Bay Back Bay,pn,window,stl,1,178,0.14119943657215564,0.10023995326303677,-0.0737356948389742,-0.010124246444976504,0.19923815071055825,-0.0012110318231239965,1.0,False,-0.010918885726671202,0.8849839896941563,0.00011393683421098302,0.1,stationary (both agree),-0.9999999999999943,0.0,0.22776561165497045,0.001863266860176016
Cal Poly Pier,pn,full,raw,1,821,0.47278231066224546,0.35008520761124784,0.3006788193360326,0.059158721296582804,0.2303196062629375,-0.01437124817740464,12.0,False,0.09031719368786473,0.009619422287149808,4.021947471548309e-10,0.0979205568264846,stationary (both agree),,,,
Cal Poly Pier,pn,full,seasonal_diff,1,688,0.38297416457877426,0.16789391338941936,0.1368586600601644,-0.005841496106010759,-0.40766700834279096,-0.00834886152596775,3.0,False,0.0040187630992198,0.916201308495376,0.023091405678723878,0.1,stationary (both agree),,,,
Cal Poly Pier,pn,full,stl,1,935,0.3651832934622036,0.16181809373767125,0.11593458269133913,-0.013988434469891722,-0.041580423013194166,-0.007342064038884822,7.0,False,-0.04310304982195308,0.18789090756590027,6.9433270230715395e-22,0.1,stationary (both agree),0.23306733019110887,5.324145721806827e-13,0.26776591053714316,0.18835744228469886
Cal Poly Pier,pn,window,raw,1,177,0.5007975820914702,0.327903721745111,0.289141818468321,-0.08637646753024071,0.17281989312700483,-0.017115420638862355,8.0,False,0.22997625321790677,0.00207460519208314,0.29076393062677997,0.03193299828214803,non-stationary (both agree),,,,
Cal Poly Pier,pn,window,seasonal_diff,1,118,0.4009265247349312,0.2529640583193678,0.38131583804576696,-0.1692018943362697,-0.5300740872468903,-0.014537409622744588,7.0,False,0.08822931777377628,0.34207791786045105,0.07877773887982897,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",,,,
Cal Poly Pier,pn,window,stl,1,193,0.4569751131483133,0.2099868132047892,0.3082972555772753,-0.19427459925769452,0.11355750370726105,-0.014063655973164809,6.0,False,-0.01029970486916841,0.8869517834849909,0.002484529876112903,0.1,stationary (both agree),0.9991893707118358,1.928781139962738e-268,0.322196551586601,0.041857148355766816
Cal Poly Pier,pda,full,raw,1,815,0.43897411433218,0.25839782229889746,0.27729253629019335,0.02893244039509701,-0.014797831467707663,-0.009274129211786388,8.0,False,-0.14389507197207807,3.7378028153287177e-05,1.0080141730343388e-13,0.1,stationary (both agree),,,,
Cal Poly Pier,pda,full,seasonal_diff,1,682,0.4467456108014532,0.31299680744239244,0.27410289202552024,-0.07143099684188328,-0.4871704300151621,-0.011302243135733766,5.0,False,-0.0300874359098603,0.43276229800697796,9.067505448940392e-09,0.1,stationary (both agree),,,,
Cal Poly Pier,pda,full,stl,1,929,0.19041429531380305,0.08430029349779995,0.055182147513139684,0.02456462157339079,0.22347732400139725,-0.002156121521036915,4.0,False,0.12523691121910985,0.0001296638462057818,1.4430710520815685e-16,0.01,"conflicting: ADF stationary, KPSS non-stationary (possible trend-stationarity)",-0.7741075681583944,2.9161166645605884e-186,0.058813286717032676,0.05695100356892946
Cal Poly Pier,pda,window,raw,1,172,0.2523725136450854,0.23098552531360939,0.0015876577163887523,-0.09441599794013114,-0.03579971672178152,-0.006004169290856265,4.0,False,0.05613713883784801,0.4645102980690775,0.9964640435612379,0.09390753904343928,"conflicting: ADF unit root, KPSS stationary (weak evidence)",,,,
Cal Poly Pier,pda,window,seasonal_diff,1,114,0.21574108527354888,0.2753056173517725,0.027639184305109508,0.0024362504152395403,-0.24528321518714585,-0.004367758599761757,4.0,False,0.024666133195376735,0.7944785382060264,0.00033427091133035597,0.1,stationary (both agree),,,,
Cal Poly Pier,pda,window,stl,1,187,0.46667809224800677,0.329583022453173,0.06819795933066233,-0.020727581544389063,-0.00945714428704727,-0.005033858330376857,4.0,False,0.1363963716931774,0.06268846859966748,1.3936191808739688e-07,0.1,stationary (both agree),-0.23271861729463192,0.001349859559833488,0.5496539154217281,0.013306403054906824
Stearns Wharf,pn,full,raw,1,884,0.4485640929072216,0.2565169919117119,0.13571711850893275,0.03267445847516623,0.08069281924319259,-0.00743663727185856,13.0,False,-0.13986763648340336,3.0033872358786853e-05,1.2201288949961247e-12,0.1,stationary (both agree),,,,
Stearns Wharf,pn,full,seasonal_diff,1,786,0.33238828720839564,0.17608707241951982,0.06830771116815307,0.028058708669704474,-0.497142541957018,-0.003211669042605056,4.0,False,-0.06872100694044146,0.054122876390945145,0.00025404200949691194,0.1,stationary (both agree),,,,
Stearns Wharf,pn,full,stl,1,938,0.31250744210670856,0.15279188696060983,0.05892791782556092,-0.020590972443252413,-0.05363601171846503,-0.003272259225576557,3.0,False,-0.017260133927011843,0.5975292757278395,1.1276309407985337e-29,0.1,stationary (both agree),-0.4092014737375018,3.5894077249370624e-39,0.16655345853468306,0.11475325905567957
Stearns Wharf,pn,window,raw,1,185,0.5068014954630887,0.2710060775927206,0.2030312926731637,-0.07147005254449175,-0.00021557401660234245,-0.01376939793808634,10.0,False,-0.2159892742120487,0.0031491158099834385,0.0009238800245981658,0.1,stationary (both agree),,,,
Stearns Wharf,pn,window,seasonal_diff,1,131,0.39277912586786334,0.16451939456265688,0.16396307167013385,0.022541880803525743,-0.4977097060640557,-0.0034318326529047625,2.0,False,-0.19392223494882124,0.02646077650928883,0.01698923183893854,0.1,stationary (both agree),,,,
Stearns Wharf,pn,window,stl,1,190,0.30444990331022526,0.09640810778801556,0.052728240722925035,-0.08829199693390943,0.09339634164401066,-0.002478061974120507,2.0,False,0.009000236163202634,0.9019142600491667,2.060235828385362e-17,0.1,stationary (both agree),-0.9395123461949317,2.045742265673985e-89,0.37527293658503347,0.17879872124110274
Stearns Wharf,pda,full,raw,1,875,0.335791862594208,0.2195415825292858,0.23367398937980724,-0.02457074461792538,-0.009689800822581291,-0.010434690760658146,10.0,False,-0.12128251191961475,0.00032347339926611107,0.4976348403820295,0.03565414659420116,non-stationary (both agree),,,,
Stearns Wharf,pda,full,seasonal_diff,1,774,0.35061240356195716,0.24545426949277888,0.2540871803987097,0.011536346731721029,-0.5747955884178593,-0.009734279286968024,10.0,False,-0.012538526086475378,0.7276280846157215,0.6925798348842719,0.01407733941231624,non-stationary (both agree),,,,
