quantity,unit_kind,unit_label,lead_days,n_matchups,n_events,event_rate,mean_model_prob,calibration_gap,prob_sep_event_minus_nonevent,auc,auc_se,auc_ci_low,auc_ci_high,auc_beats_random,auc_pr,auc_pr_baseline,auc_pr_lift,f1_max,f1_max_pp,mcc_max,mcc_max_pp,opt_pp_far_pod,POD_faropt,FAR_faropt,FOR_faropt,POFD_faropt,accuracy_faropt,opt_pp_for_pod,POD_foropt,FAR_foropt,FOR_foropt,POFD_foropt,accuracy_foropt,max_accuracy
pn,station,Bodega Marine Lab,0,160,3,0.019,0.892,0.873,0.097,0.898,0.121,0.661,1.0,True,0.397,0.019,21.172,0.5,0.995,0.574,0.995,0.972,1.0,0.929,0.0,0.248,0.756,0.999,0.0,,0.019,0.0,0.981,0.981
pn,station,Bodega Marine Lab,1,156,3,0.019,0.89,0.871,0.06,0.728,0.168,0.398,1.0,False,0.063,0.019,3.299,0.154,0.981,0.205,0.981,0.871,1.0,0.969,0.0,0.621,0.391,0.99,0.0,1.0,0.021,0.072,0.91,0.981
pn,station,Bodega Marine Lab,2,164,2,0.012,0.879,0.866,0.087,0.725,0.206,0.322,1.0,False,0.032,0.012,2.648,0.065,0.952,0.146,0.952,0.951,1.0,0.967,0.0,0.364,0.64,0.98,0.0,1.0,0.015,0.173,0.817,0.988
pn,station,Bodega Marine Lab,3,158,1,0.006,0.868,0.861,0.082,0.662,0.3,0.075,1.0,False,0.019,0.006,2.926,0.036,0.949,0.111,0.949,0.94,1.0,0.983,0.0,0.369,0.633,0.95,0.0,1.0,0.01,0.338,0.658,0.987
pn,station,Bodega Marine Lab Buoy,0,22,0,0.0,0.91,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Bodega Marine Lab Buoy,1,18,0,0.0,0.925,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Bodega Marine Lab Buoy,2,22,0,0.0,0.884,0.884,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Bodega Marine Lab Buoy,3,23,0,0.0,0.887,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Cal Poly Pier,0,161,71,0.441,0.928,0.487,-0.045,0.504,0.046,0.414,0.594,False,0.487,0.441,1.105,0.612,0.0,0.169,0.98,0.958,0.549,0.562,0.444,0.556,0.491,0.674,0.944,0.573,1.0,1.0,0.416,0.59
pn,station,Cal Poly Pier,1,152,66,0.434,0.877,0.442,-0.054,0.419,0.046,0.328,0.51,False,0.407,0.434,0.937,0.608,0.2,0.071,0.2,0.889,0.621,0.624,0.581,0.791,0.388,0.897,0.576,0.638,0.596,0.779,0.375,0.566
pn,station,Cal Poly Pier,2,159,73,0.459,0.863,0.404,-0.069,0.474,0.046,0.384,0.564,False,0.505,0.459,1.099,0.629,0.0,0.174,0.998,0.927,0.548,0.579,0.516,0.64,0.447,0.093,0.945,0.555,1.0,1.0,0.434,0.553
