recall,precision,mode,quantity,unit,lead_days
0.4696969696969697,0.3563218390804598,strict3x3,pn,CPP,1
0.4696969696969697,0.36046511627906974,strict3x3,pn,CPP,1
0.4696969696969697,0.36470588235294116,strict3x3,pn,CPP,1
0.45454545454545453,0.35714285714285715,strict3x3,pn,CPP,1
0.4393939393939394,0.3493975903614458,strict3x3,pn,CPP,1
0.4393939393939394,0.35365853658536583,strict3x3,pn,CPP,1
0.42424242424242425,0.345679012345679,strict3x3,pn,CPP,1
0.42424242424242425,0.35,strict3x3,pn,CPP,1
0.42424242424242425,0.35443037974683544,strict3x3,pn,CPP,1
0.42424242424242425,0.358974358974359,strict3x3,pn,CPP,1
0.42424242424242425,0.36363636363636365,strict3x3,pn,CPP,1
0.42424242424242425,0.3684210526315789,strict3x3,pn,CPP,1
0.42424242424242425,0.37333333333333335,strict3x3,pn,CPP,1
0.4090909090909091,0.36486486486486486,strict3x3,pn,CPP,1
0.4090909090909091,0.3698630136986301,strict3x3,pn,CPP,1
0.4090909090909091,0.375,strict3x3,pn,CPP,1
0.4090909090909091,0.38028169014084506,strict3x3,pn,CPP,1
0.4090909090909091,0.38571428571428573,strict3x3,pn,CPP,1
0.4090909090909091,0.391304347826087,strict3x3,pn,CPP,1
0.4090909090909091,0.39705882352941174,strict3x3,pn,CPP,1
0.4090909090909091,0.40298507462686567,strict3x3,pn,CPP,1
0.4090909090909091,0.4090909090909091,strict3x3,pn,CPP,1
0.4090909090909091,0.4153846153846154,strict3x3,pn,CPP,1
0.4090909090909091,0.421875,strict3x3,pn,CPP,1
0.4090909090909091,0.42857142857142855,strict3x3,pn,CPP,1
0.3939393939393939,0.41935483870967744,strict3x3,pn,CPP,1
0.3939393939393939,0.4262295081967213,strict3x3,pn,CPP,1
0.3787878787878788,0.4166666666666667,strict3x3,pn,CPP,1
0.3787878787878788,0.423728813559322,strict3x3,pn,CPP,1
0.36363636363636365,0.41379310344827586,strict3x3,pn,CPP,1
0.3484848484848485,0.40350877192982454,strict3x3,pn,CPP,1
0.3333333333333333,0.39285714285714285,strict3x3,pn,CPP,1
0.3333333333333333,0.4,strict3x3,pn,CPP,1
