prediction_point,hits,false_alarms,misses,correct_negatives,total,accuracy,POD,FAR,POFD,BS,miss_rate,FOR,precision,recall,F1,MCC,mode,quantity,unit,lead_days
0.32,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.33,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.34,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.35,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.36,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.37,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.38,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.39,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.4,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.41,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.42,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.43,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.44,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
